	B.M,r	B.M,p	B.T2D-NGT,fc	B.T2D-NGT,p	B.M,q	B.T2D-NGT,q	name
ENSG00000223972	0.2652636879309723	0.08181825127358486	-0.03909090909090818	0.5646387300547098	0.4063593509773519	0.9137505983699306	DDX11L1
ENSG00000186092	-0.16514998126928807	0.28402484543536693	0.044545454545454444	0.3582764300347948	0.6859114043865658	0.8477309112928982	OR4F5
ENSG00000278566	0.09106936048079908	0.5565866573150937	0.005909090909091308	0.9472948257561927	0.8551478474434983	0.990522982346759	ENSG00000278566
ENSG00000177757	-0.006733888629724259	0.9653969388604786	0.014545454545453751	0.7857480647930535	0.9919592009647067	0.9622837031291986	FAM87B
ENSG00000228794	0.25388657110296303	0.09631560867499797	-0.11954545454545418	0.36686318232448845	0.43559174528821554	0.8540029941855997	LINC01128
ENSG00000187634	-0.020316654847108505	0.8958550650572654	-0.009090909090910593	0.6022327932097533	0.9742888717941088	0.9247935246209615	SAMD11
ENSG00000187961	0.11306805677693142	0.46492240190163936	-0.011818181818182172	0.333236533492443	0.8097160149015256	0.8354474554862675	KLHL17
ENSG00000187583	0.09482292794671401	0.54036654221263	0.0013636363636368998	0.9528149421794574	0.8471341147656379	0.992510852530198	PLEKHN1
ENSG00000187608	0.02651996709867932	0.8643187154696198	-0.011818181818182172	0.7336024631995703	0.9647390838742619	0.9508337346092792	ISG15
ENSG00000188157	0.09462730065404043	0.5412062348878375	-0.007272727272727764	0.6782673229208946	0.8474664853913215	0.9432650385791571	AGRN
ENSG00000223823	0.42529572092251183	0.004003222713993434	-0.07499999999999929	0.03328340760764333	0.08021069072604195	0.5220646741102375	LINC01342
ENSG00000198976	-0.18911875862128016	0.21888843628999638	0.024999999999999467	0.3697183157707846	0.6206671783137345	0.8546418910060334	MIR429
ENSG00000162571	-0.16726135845138382	0.27782718647590604	0.03772727272727394	0.12728246127791032	0.6808744452701903	0.6769884122272369	TTLL10
ENSG00000176022	0.14709824794699455	0.3406679701904304	-0.04454545454545489	0.4062983226456679	0.7330396239772506	0.8675606032940101	B3GALT6
ENSG00000162572	-0.07218081857117117	0.6414890397107331	0.014545454545455527	0.4275199231637157	0.8904947504747539	0.8785657055812595	SCNN1D
ENSG00000169972	-0.1379499096806754	0.37186080629889773	-0.007272727272727764	0.6661856707601743	0.7522070844944396	0.9403209403443972	PUSL1
ENSG00000224051	0.3347902789007898	0.02632698952683088	-0.15499999999999936	0.17344445262661604	0.23337945463380588	0.7272568161735223	CPTP
ENSG00000169962	0.04995241702220798	0.7474458515180891	0.0013636363636360116	0.9626220312870978	0.9259065273375326	0.9937035754367547	TAS1R3
ENSG00000224870	0.07080396049247394	0.6478769543146106	0.005909090909089976	0.8445108636501265	0.8924451657612655	0.971417175357954	AL391244.1
ENSG00000179403	0.2907063428558564	0.05557078176182995	-0.0031818181818188407	0.8841434927155579	0.33985308762496147	0.9795169212992156	VWA1
ENSG00000215915	0.3226555291008831	0.032668111003691824	-0.025909090909091326	0.2327421140789302	0.26242136582919856	0.7722286552577283	ATAD3C
ENSG00000160072	0.2561545764162186	0.09327799201096015	-0.012727272727272698	0.55013139141398	0.430619493891734	0.9101617666225071	ATAD3B
ENSG00000197785	0.37787133540287576	0.011442306766412457	-0.018181818181817633	0.6144399338216608	0.14987714057020257	0.9289904141991379	ATAD3A
ENSG00000197530	0.21198929771055106	0.16713894553745248	-0.007727272727272805	0.6626844783829582	0.5574050488454049	0.9401420921902427	MIB2
ENSG00000189409	0.021889163036040084	0.8878437825440109	0.0018181818181814968	0.9199680055393076	0.9720205882742314	0.9860331236703668	MMP23B
ENSG00000169885	-0.4845440842228205	0.0008590929840595395	0.21181818181818102	0.06560934553920332	0.03174484222360639	0.5872387725161126	CALML6
ENSG00000187730	0.12562226852286434	0.4164926593400198	-0.00818181818181829	0.7273727137916108	0.7807624860339664	0.9506214350312996	GABRD
ENSG00000067606	-0.1145164507725822	0.4591857234501264	0.008181818181817846	0.6525186884046559	0.8069310991186043	0.936621525914174	PRKCZ
ENSG00000157933	-0.24498095672281336	0.10898576803693351	0.04545454545454408	0.13675342609992347	0.45862339980442507	0.6856030091133553	SKI
ENSG00000157916	0.28766094269094783	0.058300301905548975	-0.07090909090909125	0.027465429912553716	0.3464072102390642	0.5037337782916853	RER1
ENSG00000149527	-0.17705236113330539	0.2502535356562541	0.03545454545454607	0.087929864358199	0.6530553163601802	0.6198172607289594	PLCH2
ENSG00000157873	0.02942773397083753	0.8496046114629776	0.0045454545454557405	0.8119957514929842	0.9604083300314409	0.9665095232744377	TNFRSF14
ENSG00000157870	-0.015607375146115807	0.9199050979243402	-0.019999999999999574	0.3831403523750492	0.9799219687302312	0.8605092085587797	FAM213B
ENSG00000169717	-0.10570313497991594	0.49467817954682713	-0.008181818181819622	0.8251665225473235	0.8246359015486665	0.9693676998695282	ACTRT2
ENSG00000142611	0.09421453892720287	0.5429799936307781	-0.01545454545454561	0.5276569508384346	0.8484273878934762	0.9037309524898715	PRDM16
ENSG00000158109	0.2520454851785387	0.09883706281579867	-0.09681818181818436	0.025222532751435645	0.44086102326376064	0.500798523589591	TPRG1L
ENSG00000078900	-0.19465148242036454	0.205458334816291	0.03590909090909111	0.054071080941740256	0.6062886167948117	0.5682967740655239	TP73
ENSG00000162592	-0.2671983433938908	0.0795324683153711	0.056818181818182545	0.043077855036917315	0.4013668441263351	0.5510951250786973	CCDC27
ENSG00000235169	-0.29284331831391874	0.053717454696894526	0.04409090909090985	0.07744626772101393	0.3341065786108762	0.6092948861672957	SMIM1
ENSG00000169598	-0.1279572766450834	0.4078130347416288	0.009999999999999787	0.6586129881074334	0.7766013220988465	0.9390719063575687	DFFB
ENSG00000236423	-0.18788006580131045	0.22197659879416062	0.018181818181818077	0.4596843363350054	0.6248810364130084	0.887220087019135	LINC01134
ENSG00000235054	0.3032219670427435	0.04541125026702264	-0.055909090909090686	0.03267069588203749	0.3079823279315229	0.5213055037468382	LINC01777
ENSG00000196581	0.020329674349821813	0.8957886928932159	-0.017272727272726218	0.47510888435005594	0.9742770564916177	0.8910258722205557	AJAP1
ENSG00000069424	-0.04757880506597493	0.7590792200453155	0.009090909090909705	0.5610137744476227	0.9302072519887857	0.9134428357239956	KCNAB2
ENSG00000158286	0.5009552393171173	0.0005331225071937629	-0.0459090909090909	0.03854650532941104	0.023749660523515043	0.541687959601139	RNF207
ENSG00000173673	-0.30071279100733106	0.047316893239334315	0.059090909090910415	0.08696894938819394	0.31446653166860883	0.6210248167866477	HES3
ENSG00000173662	-0.1538191887419817	0.31881469861462275	0.00818181818181829	0.7522981505915429	0.7155799987319512	0.9547604583646248	TAS1R1
ENSG00000204859	-0.06217766993752773	0.6884533320565849	-0.01545454545454561	0.3540988210255409	0.9073233882157364	0.8445634606115361	ZBTB48
ENSG00000116273	-0.16447398020955858	0.2860280668602392	-0.0072727272727268755	0.8529253000845332	0.6869683401109631	0.9728081660331227	PHF13
ENSG00000228750	0.045281433184447134	0.7703892246378259	-0.030909090909089887	0.5124347479326152	0.9343471303788778	0.8992456204472368	LINC01672
ENSG00000049245	0.22319385371977143	0.14530348841134705	-0.054545454545454675	0.45676108689923145	0.5239044430147829	0.886157908395635	VAMP3
ENSG00000049246	-0.05753164177173502	0.7106800018428714	0.04318181818181799	0.6495181631807792	0.9142374224821225	0.93598873564442	PER3
ENSG00000162426	0.16125031844612797	0.2957071422683625	0.004090909090908923	0.836967731468978	0.6955577272975473	0.9708206200597079	SLC45A1
ENSG00000131686	0.054348609150835316	0.7260470737635605	0.007727272727272805	0.8219689904761123	0.9186547173225212	0.9685934690054866	CA6
ENSG00000049239	-0.07107601820693249	0.6466127451829777	0.15090909090909044	0.21744919569755186	0.8925249216303575	0.760595512730855	H6PD
ENSG00000171621	-0.11864886536603964	0.4430304706469772	0.03363636363636502	0.592177549623781	0.7976275331619391	0.9220990375263134	SPSB1
ENSG00000171612	-0.19030837016223615	0.21595075202354494	0.19090909090909225	0.31782558012555784	0.6172231883271879	0.8296363150451802	SLC25A33
ENSG00000188807	0.12507947748366385	0.41852524488332177	-0.0027272727272729114	0.9100047668887555	0.7822335319126891	0.9840677511201673	TMEM201
ENSG00000171608	0.15372771868071158	0.3191060402703397	-0.02045454545454639	0.2061118509887278	0.7159592507765566	0.7522718254427428	PIK3CD
ENSG00000173614	0.13171835129933246	0.3940531613574896	-0.059545454545455456	0.0640869688021404	0.7683204941287111	0.5825243275065606	NMNAT1
ENSG00000162444	-0.09596456327023992	0.5354788539050731	0.04636363636363683	0.18937650397739753	0.8449811061531819	0.739474170814523	RBP7
ENSG00000130939	0.12880365681490127	0.40469274135717037	-0.05818181818182033	0.5006644507089982	0.774693750278226	0.8977078801557193	UBE4B
ENSG00000054523	-0.19693980044837545	0.20007605776962756	0.13545454545454483	0.3257662360236472	0.5998863966471648	0.8321712959812335	KIF1B
ENSG00000142657	0.016429278018070703	0.9157019864567877	0.024090909090909385	0.6723039981349472	0.9789500101284893	0.942062891207456	PGD
ENSG00000142655	0.08606217247107567	0.5785734128892892	-0.025909090909091326	0.2995788435804277	0.865517816673724	0.8168724347558904	PEX14
ENSG00000120948	-0.13608463478137645	0.3784238503964169	0.008181818181819622	0.8315727350343111	0.75633061058505	0.9703340410399034	TARDBP
