	D.M,r	D.M,p	D.T2D-NGT,fc	D.T2D-NGT,p	D.M,q	D.T2D-NGT,q	name
ENSG00000223972	0.18913013017512587	0.218860224542787	-0.14863636363636362	0.08538167219757635	0.9394557743152354	0.7996900269006724	DDX11L1
ENSG00000186092	0.18770489485373001	0.22241572919413335	-0.0500000000000001	0.5138936296956904	0.9354998511419671	0.9386888321801186	OR4F5
ENSG00000278566	-0.05575330399938103	0.7192519543491737	-0.1309090909090909	0.2926665953473112	0.9743987575437401	0.882626130848111	ENSG00000278566
ENSG00000177757	0.16945687896507639	0.2714773666594928	-0.04727272727272729	0.5470961258898286	0.9333928970827459	0.9426358301382419	FAM87B
ENSG00000228794	-0.0451740412436105	0.7709190905063165	-0.029545454545454486	0.7568069191568265	0.9823705442548909	0.9730770672507962	LINC01128
ENSG00000187634	-0.005008997298094472	0.9742570671908175	0.007272727272727299	0.7534738480197055	0.9998339497943769	0.9719956622403257	SAMD11
ENSG00000187961	0.06483247876397939	0.67586672477153	-0.007272727272727219	0.6969673596978161	0.9709291826149856	0.9665142685799215	KLHL17
ENSG00000187583	0.18495666325541885	0.22938374288752625	-0.029090909090909278	0.3082420045664732	0.9341400127985756	0.8851871178257097	PLEKHN1
ENSG00000187608	0.01949860996951558	0.9000267691583659	-0.011363636363636284	0.8163519135549131	0.9957308447694698	0.9815460190927411	ISG15
ENSG00000188157	0.064429705292765	0.6777707913269567	-0.000909090909090849	0.9646935739858211	0.970249810730833	0.997308376169109	AGRN
ENSG00000223823	-0.11233301785248628	0.4678483076083112	0.0736363636363636	0.19764326081111475	0.9535152688273429	0.8527616798811912	LINC01342
ENSG00000198976	-0.07596855883461334	0.6240484738251328	0.010000000000000028	0.812246197728754	0.9671787030974598	0.9811799905392353	MIR429
ENSG00000162571	0.15669960180704887	0.3097262062564339	-0.04499999999999989	0.18619838246925596	0.9369724874548306	0.8510817732032241	TTLL10
ENSG00000176022	-0.07372947082529689	0.6343345498064568	0.024545454545454485	0.7598097635848922	0.9695933134375102	0.9738703790303802	B3GALT6
ENSG00000162572	0.19639983532187244	0.20133705498537802	-0.023636363636363657	0.34208178835397274	0.9431192925282506	0.8982973592443042	SCNN1D
ENSG00000169972	0.0527244016930497	0.7339300240385382	-0.010909090909090757	0.7056177348228536	0.9752395928476358	0.9679564268550783	PUSL1
ENSG00000224051	0.026435445054711237	0.8647471241951168	0.07045454545454558	0.3523709698706169	0.9931973252108814	0.9007887071321101	CPTP
ENSG00000169962	0.07594627593519293	0.6241504956167074	-0.020909090909091068	0.5455864482352197	0.9671660191634545	0.9418838732590319	TAS1R3
ENSG00000224870	0.026052317772041696	0.8666895232063065	-0.03909090909090915	0.2995542160639408	0.9935428457525369	0.8848494783497625	AL391244.1
ENSG00000179403	-0.09734170945899831	0.52961159110104	-0.02045454545454538	0.490849975906806	0.9576329089322605	0.9332104394623332	VWA1
ENSG00000215915	0.1661965212436204	0.2809416879435532	0.0040909090909090045	0.8853392359903365	0.9337414328318965	0.9887048590763114	ATAD3C
ENSG00000160072	0.09524486090938385	0.5385576164417604	-0.018181818181818157	0.46502023775028656	0.9591845036819663	0.9332306440650617	ATAD3B
ENSG00000197785	-0.10264192202655274	0.5073283300626288	0.005909090909090746	0.878330336418822	0.9534882588349138	0.9881708906367004	ATAD3A
ENSG00000197530	-0.17037895199771458	0.2688393719974181	-0.012727272727272615	0.4743840017272867	0.9329119528071732	0.9319888066171184	MIB2
ENSG00000189409	0.11843026301104045	0.4438771484357167	-0.004090909090909084	0.8497640598239915	0.9524366392840707	0.9850775231510931	MMP23B
ENSG00000169885	-0.08238155995942623	0.5949816300162779	-0.015454545454545165	0.9210864407999422	0.9666868064468861	0.9931143933239501	CALML6
ENSG00000187730	-0.03884795908851225	0.8023056812090783	0.009545454545454645	0.7696931709138353	0.9869686933404641	0.9757785869179947	GABRD
ENSG00000067606	0.18175414116257269	0.23769066803466934	-0.015454545454545469	0.5499327594325327	0.9291640546424312	0.9435405467800404	PRKCZ
ENSG00000157933	0.23184065748905186	0.12994937906070375	-0.06409090909090898	0.09181544786528609	0.9479931426739285	0.8102286279193068	SKI
ENSG00000157916	-0.33169891066888896	0.027835982772894483	0.06727272727272737	0.06257564702293972	0.9468549799027984	0.7878965254997402	RER1
ENSG00000149527	0.20814676842299623	0.17514825419441382	-0.03818181818181826	0.21455976091975043	0.9464908120752313	0.8600029512819044	PLCH2
ENSG00000157873	0.024499630680856775	0.8745692495158601	-0.01772727272727275	0.5355408106182802	0.992656458064044	0.9407338178514866	TNFRSF14
ENSG00000157870	-0.02108901638964127	0.891918871499517	0.029999999999999968	0.2665160747895423	0.9952927733841644	0.875353694742898	FAM213B
ENSG00000169717	0.2113425713973981	0.16846806641138432	0.011818181818181846	0.8454713241658277	0.9459217855574592	0.9852418458211797	ACTRT2
ENSG00000142611	0.21570636971084783	0.15964679139433322	-0.049999999999999906	0.1689023381468262	0.9495494688422015	0.8367411343926315	PRDM16
ENSG00000158109	-0.128124682921883	0.4071947754799897	0.055454545454545444	0.32570943662249663	0.9540892670170578	0.8947960606664676	TPRG1L
ENSG00000078900	0.23063096832028604	0.13202115409925474	-0.05000000000000017	0.05890862019382314	0.947357030560147	0.7923096564306389	TP73
ENSG00000162592	0.3458528156073778	0.02147344699427545	-0.04999999999999976	0.16356009188556045	0.9639435847660427	0.8411388024539576	CCDC27
